watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
Haringvliet;Stellendam, Haringvlietsluizen, schuif 8;stellendam.haringvlietsluizen.schuif8;Stellendam, Haringvlietsluizen, schuif 8;c(4.05035, 51.833166)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 6;stellendam.haringvlietsluizen.schuif6;Stellendam, Haringvlietsluizen, schuif 6;c(4.051483, 51.834016)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 5;stellendam.haringvlietsluizen.schuif5;Stellendam, Haringvlietsluizen, schuif 5;c(4.05205, 51.83445)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 4;stellendam.haringvlietsluizen.schuif4;Stellendam, Haringvlietsluizen, schuif 4;c(4.052617, 51.8349)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 3;stellendam.haringvlietsluizen.schuif3;Stellendam, Haringvlietsluizen, schuif 3;c(4.053267, 51.835366)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 10;stellendam.haringvlietsluizen.schuif10;Stellendam, Haringvlietsluizen, schuif 10;c(4.0492, 51.832333)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 1;stellendam.haringvlietsluizen.schuif1;Stellendam, Haringvlietsluizen, schuif 1;c(4.054383, 51.836166)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 9;stellendam.haringvlietsluizen.schuif9;Stellendam, Haringvlietsluizen, schuif 9;c(4.049767, 51.832733)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 12;stellendam.haringvlietsluizen.schuif12;Stellendam, Haringvlietsluizen, schuif 12;c(4.04805, 51.831466)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 13;stellendam.haringvlietsluizen.schuif13;Stellendam, Haringvlietsluizen, schuif 13;c(4.047483, 51.831033)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 7;stellendam.haringvlietsluizen.schuif7;Stellendam, Haringvlietsluizen, schuif 7;c(4.050917, 51.833583)
Haringvliet;Hellevoetsluis;hellevoetsluis;Hellevoetsluis;c(4.128239, 51.819724)
Haringvliet;Stellendam, buitenhaven;stellendam.buitenhaven;Stellendam, buitenhaven;c(4.033445, 51.827028)
Havens, kreken en killen bij Gors d’n Anwas, ter hoogte van Woudrichem;De Mosterdpot;demosterdpot;De Mosterdpot;c(5.000435, 51.81925)
Buiten-IJ;Amsterdam, Schellingwouderbrug;amsterdam.schellingwouderbrug;Amsterdam, Schellingwouderbrug;c(4.967545, 52.378673)
Buitenhaven van IJmuiden;IJmuiden, Buitenhaven, 8;ijmuiden.buitenhaven.8;IJmuiden, Buitenhaven, 8;c(4.580848, 52.468285)
Buitenhaven van IJmuiden;IJmuiden, buitenhaven;ijmuiden.buitenhaven;IJmuiden, buitenhaven;c(4.555, 52.463)
Buitenhaven van IJmuiden;IJmuiden, noordersluis, west;ijmuiden.noordersluis.west;IJmuiden, noordersluis, west;c(4.604, 52.4678)
Buitenhaven van IJmuiden;IJmuiden, 1 km uit de kust;ijmuiden.1kmuitdekust;IJmuiden, 1 km uit de kust;c(4.5387, 52.465894)
Calandkanaal;Beerkanaal, midden;beerkanaal.midden;Beerkanaal, midden;c(4.090393, 51.975455)
Calandkanaal;Rozenburgsesluis, noordzijde;rozenburgsesluis.noordzijde;Rozenburgsesluis, noordzijde;c(4.228892, 51.895774)
Bijlandsch Kanaal;Watersportcentrum De Bijland;watersportcentrumdebijland;Watersportcentrum De Bijland;c(6.079573, 51.865106)
Bijlandsch Kanaal;Lobith, ponton;lobith.ponton;Lobith, ponton;c(6.091178, 51.854205)
Bijlandsch Kanaal;Millingen a/d Rijn Pannerdense Kop;millingenaanderijn.pannerdensekop;Millingen a/d Rijn Pannerdense Kop;c(6.0417, 51.872)
Bijlandsch Kanaal;Lobith, Bovenrijn, haven;lobith.bovenrijn.haven;Lobith, Bovenrijn, haven;c(6.083651, 51.857505)
Lek;Tull en 't Waal, west;tullentwaal.west;Tull en 't Waal, west;c(5.133401, 51.997563)
Lek;Tull en 't Waal, oost;tullentwaal.oost;Tull en 't Waal, oost;c(5.140409, 51.994208)
Lek;Middelwaard;middelwaard;Middelwaard;c(5.075122, 51.994143)
Lek;Honswijkerplas;honswijkerplas;Honswijkerplas;c(5.146929, 51.992055)
Lek;Bergambacht Lek;bergambacht.lek;drinkwaterinnamepunt;c(4.7859, 51.918929)
Lek;Hagestein;hagestein;Hagestein;c(5.132711, 51.990866)
Lek;Kinderdijk Lek;kinderdijk.lek;Kinderdijk Lek;c(4.62599, 51.8883)
Lek;Kinderdijk Linkeroever (kilometer 988.8);kinderdijk.linkeroever.km988.8;Kinderdijk Linkeroever (kilometer 988.8);c(4.62598955, 51.88829964)
Lek;Schoonhoven;schoonhoven;Schoonhoven;c(4.85, 51.942)
Lek;Krimpen aan de Lek, Lek;krimpenaandelek.lek;Krimpen aan de Lek, Lek;c(4.628906, 51.890722)
Lek;Hagestein, boven;hagestein.boven;Hagestein, boven;c(5.1352, 51.9895)
Lek;Hagestein, beneden;hagestein.beneden;Hagestein, beneden;c(5.1315, 51.993)
Lek;Culemborg;culemborg;brug;c(5.214, 51.961)
Dordtsche Kil;Dordrecht Dordtsche Kil;dordrecht.dordtschekil;Dordrecht Dordtsche Kil;c(4.627158, 51.787782)
Eems, Dollard;Termunten, zeestrand;termunten.zeestrand;Termunten, zeestrand;c(7.031538, 53.302878)
Eems, Dollard;Huibertgat, oost;huibertgat.oost;Huibertgat, oost;c(6.661199, 53.559133)
Eems, Dollard;Bocht van Watum;bochtvanwatum;Bocht van Watum;c(6.94394, 53.334933)
Eems, Dollard;Eemshaven, Waddenzee;eemshaven.waddenzee;stroommeetpaal;c(6.821731, 53.474392)
Eems, Dollard;Groote Gat, noord;grootegat.noord;Groote Gat, noord;c(7.15666, 53.304291)
Eems, Dollard;Huibertgat;huibertgat;Huibertgat;c(6.398433, 53.57375)
Eems, Dollard;Bocht van Watum, dijkvoet VKA;bochtvanwatum.dijkvoetvka;Bocht van Watum, dijkvoet VKA;c(6.876722, 53.409922)
Eemskanaal;Zeestrand, Eemshotel, Delfzijl;zeestrand.eemshotel.delfzijl;Zeestrand, Eemshotel, Delfzijl;c(6.931385, 53.334825)
Eemskanaal;Delfzijl;delfzijl;Delfzijl;c(6.931, 53.328)
Eemskanaal;Slochtersluis;slochtersluis.boven;Slochtersluis;c(6.65056, 53.23631)
Lekkanaal;Nieuwegein, lekkanaal;nieuwegein.lekkanaal;Nieuwegein, lekkanaal;c(5.113007, 52.022729)
Maas;Wessem, Recreatiestrand Comfortparc Wessem;wessem.recreatiestrandcomfortparcwessem;Wessem, Recreatiestrand Comfortparc Wessem;c(5.872004, 51.153627)
Maas;Stevensweert, Brandt, Huiskensplas;stevensweert.brandt.huiskensplas;dagstrand;c(5.859473, 51.138721)
Maas;Maasgouw, Dilkensplas, meetpunt 1;maasgouw.dilkensplas.1;Maasgouw, Dilkensplas, meetpunt 1;c(5.817734, 51.110991)
Maas;Roermond, Resort Marina Oolderhuuske, recreatiestrand;roermond.resortmarinaoolderhuuske.recreatiestrand;Roermond, Resort Marina Oolderhuuske, recreatiestrand;c(5.954914, 51.190285)
Maas;Plas WRC Eijsden, Oost Maarland, noord;plaswrceijsden.oostmaarland.noord;Plas WRC Eijsden, Oost Maarland, noord;c(5.705312, 50.807845)
Maas;Thorn, De Grote Hegge;thorn.degrotehegge;dagstrand;c(5.843738, 51.155656)
Maas;Roermond, De Weerd, noorderplas;roermond.deweerd.noorderplas;dagstrand;c(5.969767, 51.208666)
Maas;Plas WRC Eijsden;plaswrceijsden;Hoge Weerd;c(5.699367, 50.818162)
Maas;De Gouden Ham, Camping Het Groene Eiland;degoudenham.campinghetgroeneeiland;De Gouden Ham, Camping Het Groene Eiland;c(5.548624, 51.834571)
Maas;Recreatiegebied Mookerplas;recreatiegebiedmookerplas;Recreatiegebied Mookerplas;c(5.929823, 51.732233)
Maas;Kraaijenbergse Plassen, 2;kraaijenbergseplassen.2;Kraaijenbergse Plassen, 2;c(5.832835, 51.751339)
Maas;De Gouden Ham, De Maaslanden;degoudenham.demaaslanden;De Gouden Ham, De Maaslanden;c(5.562303, 51.8303)
Maas;De Gouden Ham, Hanzeland;degoudenham.hanzeland;De Gouden Ham, Hanzeland;c(5.546664, 51.826196)
Maas;Heeswijkse Kampen;heeswijksekampen;Heeswijkse Kampen;c(5.849381, 51.74776)
Maas;De Gouden Ham, De Maasterp;degoudenham.demaasterp;De Gouden Ham, De Maasterp;c(5.554369, 51.834652)
Maas;Roermond, Doevesbeemd, west;roermond.doevesbeemd.west;camping Hermans;c(5.976361, 51.208435)
Maas;Kerkdriel, De Zandmeren, westzijde;kerkdriel.dezandmeren.westzijde;oude maasarm km 212;c(5.348091, 51.763281)
Maas;Porta Isola;portaisola;Porta Isola;c(5.855281, 51.134037)
Maas;Kerkdriel, De Zandmeren, noord;kerkdriel.dezandmeren.noord;Kerkdriel, De Zandmeren, noord;c(5.347191, 51.766013)
Maas;Hemelrijkse Waard, dagstrand;hemelrijksewaard.dagstrand;Hemelrijkse Waard, dagstrand;c(5.481898, 51.799553)
Maas;Papenbeek, Leukermeer, Recreatiestrand Vakantiepark;papenbeek.leukermeer.recreatiestrandvakantiepark;Papenbeek, Leukermeer, Recreatiestrand Vakantiepark;c(6.062421, 51.567382)
Maas;Lithse Ham, gemeentestrand;lithseham.gemeentestrand;Lithse Ham, gemeentestrand;c(5.417657, 51.815416)
Maas;Stevensweert, Eiland, De Kis;stevensweert.eiland.dekis;dagstrand;c(5.857728, 51.137182)
Maas;Kraaijenbergse Plassen, 3;kraaijenbergseplassen.3;Kraaijenbergse Plassen, 3;c(5.823105, 51.750018)
Maas;Roermond, Recreatiestrand Camping Hatenboer;roermond.recreatiestrandcampinghatenboer;Roermond, Recreatiestrand Camping Hatenboer;c(5.97448, 51.195627)
Maas;Camping De Schans;campingdeschans;Camping De Schans;c(5.495526, 51.835827)
Maas;Lithse Ham, dagstrand;lithseham.dagstrand;Lithse Ham, dagstrand;c(5.412579, 51.810923)
Maas;Maastricht, Grindgat, Oost-Maarland, 1;maastricht.grindgat.oostmaarland.1;camping, oosterdriessen;c(5.704213, 50.800522)
Maas;Kerkdriel, camping den Bol, dagstrand;kerkdriel.campingdenbol.dagstrand;Kerkdriel, camping den Bol, dagstrand;c(5.335036, 51.778556)
Maas;Leukermeer derde strandje;kamp.leukermeer.strand;Leukermeer derde strandje;c(6.059125, 51.571733)
Maas;Heel, Lateraal Kanaal Linne-Buggenum, innamewerk;heel.lateraalkanaallinnebuggenum.innamewerk;Heel, Lateraal Kanaal Linne-Buggenum, innamewerk;c(5.92716, 51.187568)
Maas;Kraaijenbergse Plassen, Den Drul;kraaijenbergseplassen.dendrul;Kraaijenbergse Plassen, Den Drul;c(5.839673, 51.739951)
Maas;Belfeld, boven;belfeld.boven;Belfeld, boven;c(6.1123, 51.3189)
Maas;Stevensweert;stevensweert;Stevensweert;c(5.841665, 51.131088)
Maas;Borgharen Dorp;maastricht.borgharen.maas.beneden;km 16,00;c(5.691, 50.8724)
Maas;Maastricht Sint Pieter zuid;maastricht.sintpieter.zuid;Maastricht Sint Pieter zuid;c(5.6977, 50.8279)
Maas;Sint Pieter Noord;maastricht.sintpieter;km 10,80;c(5.69732, 50.830294)
Maas;Megen Dorp;megen.maas;km 190,75;c(5.563091, 51.827827)
Maas;Venlo;venlo;km 107,47;c(6.159406, 51.367387)
Maas;Maastricht Bosscherveld overlaat;maastricht.bosscherveld;Maastricht Bosscherveld overlaat;c(5.687038, 50.869849)
Maas;Roermond, stuw, boven;roermond.stuw.boven;Roermond, stuw, boven;c(5.982902, 51.21073)
Maas;Grave, boven;grave.boven;sluis;c(5.743, 51.761)
Maas;Sambeek, boven;sambeek.boven;Sambeek, boven;c(6.0036, 51.63225)
Maas;Lith, boven;lith.boven;Lith, boven;c(5.455, 51.81)
Maas;Maastricht, Borgharen, Maas, boven;maastricht.borgharen.maas.boven;stuw;c(5.698089, 50.868809)
Maas;Linne, stuw, boven;linne.stuw.boven;Linne, stuw, boven;c(5.922507, 51.168812)
Maas;Elsloo;elsloo.maas;km 29,325;c(5.755318, 50.957736)
Maas;Buggenum Hanssumerweerd;buggenum;km 85,77;c(5.99556, 51.22999)
Maas;Sambeek, beneden;sambeek.beneden;Sambeek, beneden;c(5.972, 51.6458)
Maas;Neer;neer;Neer;c(6.0055, 51.2604)
Maas;Uikhoven;uikhoven;lm 25,25;c(5.7321, 50.928834)
Maas;'s-Hertogenbosch Crevecoeur;shertogenbosch.crevecoeur;'s-Hertogenbosch Crevecoeur;c(5.271539, 51.733524)
Maas;Belfeld beneden;steyl;km 102,697;c(6.116676, 51.33536)
Maas;Linne beneden;linne.stuw.beneden;km 70,40;c(5.942617, 51.160525)
Maas;Meeswijk veer;meeswijk;km 38,93;c(5.766474, 51.006474)
Maas;Mook;mook;Mook;c(5.8645, 51.758)
Maas;Lith dorp;lith.beneden;km 202,37;c(5.432911, 51.810386)
Maas;Roermond, boven;roermond.boven;Roermond, boven;c(5.9815, 51.2005)
