locatie_id,watersysteemid,locatie_naam,locatie_code,locatie_omschrijving,rw_identificatie,PARAMETER_WAT_OMSCHRIJVING,TIJDSTIP_LAATSTE_METING,geometry
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ace,Bathse Spuikanaal,"Rilland, Bathsebrug",rilland.bathsebrug,voorheen Kreekrakbrug spuikanaal,Bathse Spuikanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-04-01T00:50:00Z,"c(4.231181, 51.42503)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c80,Beneden Merwede,"Dordrecht Oude Maas, Beneden Merwede",dordrecht.oudemaas.benedenmerwede,"Dordrecht Oude Maas, Beneden Merwede",Beneden Merwede,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.671, 51.82)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ba8,Beneden Merwede,"Dordrecht Oude Maas, Beneden Merwede",dordrecht.oudemaas.benedenmerwede,"Dordrecht Oude Maas, Beneden Merwede",Beneden Merwede,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.671, 51.82)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b4f,Beneden Merwede,"Dordrecht Oude Maas, Beneden Merwede",dordrecht.oudemaas.benedenmerwede,"Dordrecht Oude Maas, Beneden Merwede",Beneden Merwede,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T02:00:00Z,"c(4.671, 51.82)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b4d,Beneden Merwede,"Dordrecht Oude Maas, Beneden Merwede",dordrecht.oudemaas.benedenmerwede,"Dordrecht Oude Maas, Beneden Merwede",Beneden Merwede,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-10-01T10:45:00Z,"c(4.671, 51.82)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cb9,Bergsche Maas,Heesbeen,heesbeen,Heesbeen,Bergsche Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.124738, 51.735848)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c2c,Bergsche Maas,Keizersveer,hank.bergschemaas,"km 247,60",Bergsche Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.894, 51.7191)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bad,Bergsche Maas,Heesbeen,heesbeen,Heesbeen,Bergsche Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.124738, 51.735848)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bac,Bergsche Maas,Keizersveer,hank.bergschemaas,"km 247,60",Bergsche Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.894, 51.7191)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cfc,Boven-Rijn,"Lobith, Bovenrijn, Tolkamer",lobith.bovenrijn.tolkamer,"Lobith, Bovenrijn, Tolkamer",Boven-Rijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.1024, 51.8495)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b49,Boven-Rijn,"Lobith, Bovenrijn, Tolkamer",lobith.bovenrijn.tolkamer,"Lobith, Bovenrijn, Tolkamer",Boven-Rijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.1024, 51.8495)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d05,Brabantse Biesbosch,"Werkendam, Middelste Kievitswaard",werkendam.middelstekievitswaard,"Werkendam, Middelste Kievitswaard",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(4.807028, 51.784694)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cef,Brabantse Biesbosch,"Werkendam, Binnen Kievitswaard",werkendam.binnenkievitswaard,"Werkendam, Binnen Kievitswaard",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(4.830278, 51.792222)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ce0,Brabantse Biesbosch,"Werkendam, Kleine Zalm",werkendam.kleinezalm,"Werkendam, Kleine Zalm",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(4.821139, 51.761722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cde,Brabantse Biesbosch,"Werkendam, Vogelenzang",werkendam.vogelenzang,"Werkendam, Vogelenzang",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(4.836139, 51.769167)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c99,Brabantse Biesbosch,"Werkendam, Nieuwe Merwede",werkendam.nieuwemerwede,buiten,Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.876824, 51.806041)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c86,Brabantse Biesbosch,"Werkendam, Happen Hennip",werkendam.happenhennip,"Werkendam, Happen Hennip",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(4.795944, 51.780722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c79,Brabantse Biesbosch,"Werkendam, Steenenmuur",werkendam.steenenmuur,"Werkendam, Steenenmuur",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(4.839778, 51.765278)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bfb,Brabantse Biesbosch,"Werkendam, Kooike",werkendam.kooike,"Werkendam, Kooike",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(4.862972, 51.783139)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb0,Brabantse Biesbosch,"Werkendam, Nieuwe Merwede",werkendam.nieuwemerwede,buiten,Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.876824, 51.806041)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-592c,Brabantse Biesbosch,"Werkendam, Middelste Kievitswaard",werkendam.middelstekievitswaard,"Werkendam, Middelste Kievitswaard",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.807028, 51.784694)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-592b,Brabantse Biesbosch,"Werkendam, Kooike",werkendam.kooike,"Werkendam, Kooike",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.862972, 51.783139)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5929,Brabantse Biesbosch,"Werkendam, Steenenmuur",werkendam.steenenmuur,"Werkendam, Steenenmuur",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.839778, 51.765278)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5928,Brabantse Biesbosch,"Werkendam, Vogelenzang",werkendam.vogelenzang,"Werkendam, Vogelenzang",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.836139, 51.769167)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5927,Brabantse Biesbosch,"Werkendam, Happen Hennip",werkendam.happenhennip,"Werkendam, Happen Hennip",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.795944, 51.780722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5926,Brabantse Biesbosch,"Werkendam, Kleine Zalm",werkendam.kleinezalm,"Werkendam, Kleine Zalm",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.821139, 51.761722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5924,Brabantse Biesbosch,"Werkendam, Binnen Kievitswaard",werkendam.binnenkievitswaard,"Werkendam, Binnen Kievitswaard",Brabantse Biesbosch,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(4.830278, 51.792222)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d10,Haringvliet,"Stellendam, buitenhaven",stellendam.buitenhaven,"Stellendam, buitenhaven",Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.033445, 51.827028)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c97,Haringvliet,Hellevoetsluis,hellevoetsluis,Hellevoetsluis,Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.128239, 51.819724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5baa,Haringvliet,Hellevoetsluis,hellevoetsluis,Hellevoetsluis,Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.128239, 51.819724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ba6,Haringvliet,"Stellendam, buitenhaven",stellendam.buitenhaven,"Stellendam, buitenhaven",Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T23:50:00Z,"c(4.033445, 51.827028)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b76,Haringvliet,Hellevoetsluis,hellevoetsluis,Hellevoetsluis,Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T01:25:00Z,"c(4.128239, 51.819724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b5d,Haringvliet,"Stellendam, buitenhaven",stellendam.buitenhaven,"Stellendam, buitenhaven",Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T02:40:00Z,"c(4.033445, 51.827028)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5abe,Haringvliet,"Stellendam, buitenhaven",stellendam.buitenhaven,"Stellendam, buitenhaven",Haringvliet,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.033445, 51.827028)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cd9,Buiten-IJ,"Amsterdam, Schellingwouderbrug",amsterdam.schellingwouderbrug,"Amsterdam, Schellingwouderbrug",Buiten-IJ,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.967545, 52.378673)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ba7,Buiten-IJ,"Amsterdam, Schellingwouderbrug",amsterdam.schellingwouderbrug,"Amsterdam, Schellingwouderbrug",Buiten-IJ,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.967545, 52.378673)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d22,Buitenhaven van IJmuiden,"IJmuiden, noordersluis, west",ijmuiden.noordersluis.west,"IJmuiden, noordersluis, west",Buitenhaven van IJmuiden,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.604, 52.4678)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cb8,Buitenhaven van IJmuiden,"IJmuiden, buitenhaven",ijmuiden.buitenhaven,"IJmuiden, buitenhaven",Buitenhaven van IJmuiden,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.555, 52.463)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b8b,Buitenhaven van IJmuiden,"IJmuiden, noordersluis, west",ijmuiden.noordersluis.west,"IJmuiden, noordersluis, west",Buitenhaven van IJmuiden,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.604, 52.4678)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ade,Buitenhaven van IJmuiden,"IJmuiden, buitenhaven",ijmuiden.buitenhaven,"IJmuiden, buitenhaven",Buitenhaven van IJmuiden,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-01-01T23:50:00Z,"c(4.555, 52.463)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5aa7,Buitenhaven van IJmuiden,"IJmuiden, buitenhaven",ijmuiden.buitenhaven,"IJmuiden, buitenhaven",Buitenhaven van IJmuiden,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-10-01T10:28:00Z,"c(4.555, 52.463)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c5d,Calandkanaal,"Rozenburgsesluis, noordzijde",rozenburgsesluis.noordzijde,"Rozenburgsesluis, noordzijde",Calandkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.228892, 51.895774)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ba3,Calandkanaal,"Rozenburgsesluis, noordzijde",rozenburgsesluis.noordzijde,"Rozenburgsesluis, noordzijde",Calandkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.228892, 51.895774)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c68,Bijlandsch Kanaal,"Lobith, Bovenrijn, haven",lobith.bovenrijn.haven,"Lobith, Bovenrijn, haven",Bijlandsch Kanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.083651, 51.857505)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bff,Bijlandsch Kanaal,Millingen a/d Rijn Pannerdense Kop,millingenaanderijn.pannerdensekop,Millingen a/d Rijn Pannerdense Kop,Bijlandsch Kanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.0417, 51.872)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b47,Bijlandsch Kanaal,Millingen a/d Rijn Pannerdense Kop,millingenaanderijn.pannerdensekop,Millingen a/d Rijn Pannerdense Kop,Bijlandsch Kanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.0417, 51.872)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b2e,Bijlandsch Kanaal,"Lobith, Bovenrijn, haven",lobith.bovenrijn.haven,"Lobith, Bovenrijn, haven",Bijlandsch Kanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.083651, 51.857505)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cf2,Lek,Schoonhoven,schoonhoven,Schoonhoven,Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.85, 51.942)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ccb,Lek,"Krimpen aan de Lek, Lek",krimpenaandelek.lek,"Krimpen aan de Lek, Lek",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.628906, 51.890722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c76,Lek,"Hagestein, beneden",hagestein.beneden,"Hagestein, beneden",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.1315, 51.993)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c0c,Lek,"Hagestein, boven",hagestein.boven,"Hagestein, boven",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.1352, 51.9895)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bfd,Lek,Culemborg,culemborg,brug,Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.214, 51.961)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bbb,Lek,"Hagestein, beneden",hagestein.beneden,"Hagestein, beneden",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.1315, 51.993)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb1,Lek,Schoonhoven,schoonhoven,Schoonhoven,Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.85, 51.942)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bae,Lek,"Krimpen aan de Lek, Lek",krimpenaandelek.lek,"Krimpen aan de Lek, Lek",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.628906, 51.890722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b69,Lek,Schoonhoven,schoonhoven,Schoonhoven,Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T02:47:00Z,"c(4.85, 51.942)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b62,Lek,"Krimpen aan de Lek, Lek",krimpenaandelek.lek,"Krimpen aan de Lek, Lek",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T01:46:00Z,"c(4.628906, 51.890722)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b0a,Lek,Culemborg,culemborg,brug,Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.214, 51.961)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b02,Lek,"Hagestein, boven",hagestein.boven,"Hagestein, boven",Lek,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.1352, 51.9895)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cdb,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bd0,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b6d,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-08-28T15:15:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5afd,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.821731, 53.474392)"
